UniID,Institution_Name,City,Year,Student_to_faculty_ratio,Full_Time_Staff_per_Student,Average_salary_of_full_time_professors,Percent_of_undergraduate_enrollment_Age_18_to_24,Percent_of_full_time_first_time_undergraduates_awarded_any_financial_aid,Total_price_for_in_state_students_living_on_campus ,Percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses,Percent_admitted ,Published_in_state_tuition_and_fees,Books_and_supplies,Undergraduate_application_fee,SAT_Math_50th_percentile_score,SAT_Reading_and_Writing_50th_percentile_score,Full_time_retention_rate
229027,The University of Texas at San Antonio,San Antonio,18-19,25,0.1115,125633,83,83,23715,2,79,8049,1500,70,560,570,73
228802,The University of Texas at Tyler,Tyler,18-19,19,0.1001,99043,65,85,21730,15,78,8292,1292,60,585,595,62
229018,The University of Texas Permian Basin,Odessa,18-19,20,0.0871,100796,52,91,20890,46,91,6260,1000,50,520,530,68
227368,The University of Texas Rio Grande Valley,Edinburg,18-19,19,0.1263,78073,81,90,20471,5,81,7813,1218,0,510,525,76
225511,University of Houston,Houston,18-19,22,0.1147,154246,79,87,23225,3,62,8913,1300,75,610,610,85
225414,University of Houston-Clear Lake,Houston,18-19,16,0.0965,102162,53,64,23276,7,69,7002,1064,45,555,565,74
225432,University of Houston-Downtown,Houston,18-19,18,0.0775,98037,50,83,24066.17,20,83,6500,1232,50,505,505,71
225502,University of Houston-Victoria,Victoria,18-19,15,0.1008,101485,51,94,19627,39,54,6491,1158,0,536.17,543.96,56
227216,University of North Texas,Denton,18-19,25,0.1009,120692,83,82,24712,5,71,10852,1000,75,570,590,78
484905,University of North Texas at Dallas,Dallas,18-19,17,0.0964,95882,56,96,23374,16,83,9139,1500,40,495,505,73
229814,West Texas A & M University,Canyon,18-19,20,0.0833,89468,77,90,21285,18,65,7935,1000,55,530,540,67
222831,Angelo State University,San Angelo,17-18,19,0.0802,80749,62,94,19547,3,74,7201,1200,35,495,500,67
226091,Lamar University,Beaumont,17-18,17,0.0968,102031,69,86,22402,23,82,8314,1012,25,515,530,64
226833,Midwestern State University,Wichita Falls,17-18,18,0.1123,90796,74,92,20146,15,81,8694,1050,25,505,520,67
227526,Prairie View A & M University,Prairie View,17-18,20,0.1237,98898,89,95,23750,1,79,9959,1302,40,475,485,71
227881,Sam Houston State University,Huntsville,17-18,21,0.1025,98437,83,89,21824,9,74,8062,1096,45,530,540,77
228431,Stephen F Austin State University,Nacogdoches,17-18,19,0.1197,86215,88,85,21276,6,65,7716,1202,45,535,550,72
228501,Sul Ross State University,Alpine,17-18,12,0.1405,68172,65,93,22282,27,100,8072,1366,25,455,457.5,58
228529,Tarleton State University,Stephenville,17-18,19,0.0859,94457,78,89,20387,7,50,7367,1200,45,515,525,67
226152,Texas A & M International University,Laredo,17-18,22,0.0944,98305,75,81,17983,2,50,7143,960,0,505,515,76
228723,Texas A & M University-College Station,College Station,17-18,21,0.1481,142677,97,76,28476,0,71,11234,1054,75,630,620,92
224554,Texas A & M University-Commerce,Commerce,17-18,21,0.0731,100538,65,93,21651,21,35,8434,1400,0,525,530,67
224147,Texas A & M University-Corpus Christi,Corpus Christi,17-18,20,0.1037,98424,82,72,21327,3,60,8750,868,40,480,475,56
229063,Texas Southern University,Houston,17-18,19,0.1154,99771,75,95,25271,2,67,9173,1569,42,410,404.5,57
228459,Texas State University,San Marcos,17-18,22,0.1011,103291,88,77,22625,3,73,9985,770,75,550,560,78
229115,Texas Tech University,Lubbock,17-18,20,0.1328,121923,90,78,23633,4,69,8860,1200,75,575,580,84
229179,Texas Woman's University,Denton,17-18,18,0.0950,100369,65,93,19723,15,86,7486,1050,50,480,505,78
228769,The University of Texas at Arlington,Arlington,17-18,24,0.0675,130312,53,91,24660,31,71,9952,1206,60,585,580,71
228778,The University of Texas at Austin,Austin,17-18,18,0.2679,156505,95,65,25440,0,36,10398,662,75,670,670,95
228787,The University of Texas at Dallas,Richardson,17-18,24,0.11855148,164067,82,77,27360,0,76,11528,1200,50,675,650,88
228796,The University of Texas at El Paso,El Paso,17-18,20,0.101483372,112955,76,88,23210,5,100,7851,1632,0,510,515,74
229027,The University of Texas at San Antonio,San Antonio,17-18,25,0.11173947,124770,84,83,23285,2,79,7969,1500,60,555,565,74
228802,The University of Texas at Tyler,Tyler,17-18,19,0.104691405,98344,63,82,20902,13,65,7822,1292,40,570,585,64
229018,The University of Texas Permian Basin,Odessa,17-18,20,0.0729137,84312,45,91,21394,53,89,5782,1000,0,530,505,66
227368,The University of Texas Rio Grande Valley,Edinburg,17-18,19,0.122442375,96886,81,93,20035,4,80,7587,1210,0,510,525,79
225511,University of Houston,Houston,17-18,22,0.115488052,149087,78,86,24946,3,61,9706,1300,75,595,600,85
225414,University of Houston-Clear Lake,Houston,17-18,15,0.110044486,103273,52,65,23918,7,72,6718,1064,45,550,575,74
225432,University of Houston-Downtown,Houston,17-18,19,0.078525756,96083,50,85,24066.17,18,84,6470,1210,50,500,499,72
225502,University of Houston-Victoria,Victoria,17-18,16,0.103376981,98591,49,94,19639,5,49,6805,1200,0,536.17,543.96,56
227216,University of North Texas,Denton,17-18,26,0.096039294,129096,83,81,23948,4,72,10544,1000,75,570,590,78
484905,University of North Texas at Dallas,Dallas,17-18,17,0.089199202,113842,52,92,23276,14,74,7848,1200,40,500,500,77
229814,West Texas A & M University,Canyon,17-18,20,0.084493042,86929,77,86,21196,16,61,7846,1000,40,535,540,64
